product_id,product_name,category,price,cost,brand,stock_quantity
1,Ameliorated encompassing encoding,Sports,630.41,395.22,Burch-Cruz,980
2,Upgradable systematic migration,Sports,384.44,267.03,Kim LLC,808
3,Stand-alone non-volatile initiative,Home,72.08,50.05,Hayes Group,339
4,Centralized homogeneous Graphical User Interface,Beauty,219.62,402.9,Edwards-Miller,495
5,Cross-platform background software,Sports,213.04,200.39,"Navarro, Morales and Orozco",361
6,Public-key attitude-oriented toolset,Sports,452.05,179.31,Rhodes Group,282
7,Proactive client-server capability,Beauty,576.53,266.64,Bryant-Goodwin,621
8,Organized mobile function,Electronics,860.08,117.68,Cross-Parsons,92
9,Future-proofed mobile installation,Sports,317.9,105.54,Howard-Morris,846
10,Distributed fault-tolerant complexity,Books,357.32,81.12,"Norris, Butler and Martin",807
11,Compatible neutral hub,Sports,20.7,487.28,Richardson and Sons,555
12,Advanced contextually-based focus group,Clothing,56.8,107.22,"Stout, Black and Decker",428
13,Multi-channeled encompassing instruction set,Electronics,977.42,478.86,Collins Inc,277
14,Compatible radical standardization,Sports,924.3,334.96,Rogers-Smith,379
15,Networked system-worthy model,Beauty,487.37,131.5,Marshall LLC,340
16,User-centric cohesive forecast,Beauty,616.08,24.87,"Reed, Joseph and Sullivan",120
17,Total eco-centric adapter,Clothing,34.24,39.51,"Peck, Griffin and Little",239
18,Automated dynamic artificial intelligence,Electronics,718.62,275.21,Marsh and Sons,540
19,Customizable didactic solution,Books,125.97,166.45,Nichols Ltd,661
20,Multi-tiered dedicated project,Books,366.81,452.36,"Jimenez, Glenn and Taylor",487
21,Reduced mission-critical frame,Home,364.97,77.33,Tapia PLC,634
22,Secured heuristic migration,Sports,242.74,361.81,Brown PLC,499
23,Cross-platform logistical Graphic Interface,Home,153.04,11.79,Wiggins Group,422
24,Sharable content-based workforce,Home,849.66,352.96,Nunez PLC,148
25,Distributed didactic firmware,Home,963.91,470.94,Morton LLC,496
26,Reactive analyzing product,Books,828.58,329.3,Brown Ltd,247
27,Digitized tangible capability,Clothing,290.96,421.62,Duran-Kramer,244
28,Automated grid-enabled implementation,Electronics,140.88,416.72,"Gonzalez, Savage and Walsh",547
29,Monitored radical algorithm,Books,666.23,360.76,"Barnes, Finley and Banks",154
30,Quality-focused mission-critical initiative,Sports,660.17,444.74,Galvan Inc,137
31,Customer-focused asynchronous hierarchy,Clothing,374.71,143.07,Martin LLC,43
32,Public-key real-time migration,Beauty,544.8,255.05,Shaw LLC,786
33,Organized heuristic service-desk,Sports,331.69,13.7,"Oneill, Martinez and Perry",785
34,Exclusive background moderator,Beauty,560.74,487.05,Murphy and Sons,270
35,Function-based zero-defect budgetary management,Electronics,977.06,28.85,"Holmes, Dorsey and Jones",879
36,Polarized motivating toolset,Books,440.08,442.77,Cruz LLC,912
37,Enhanced client-driven website,Clothing,274.1,244.18,Manning-Long,255
38,User-friendly regional attitude,Electronics,196.45,341.57,Alvarez Ltd,488
39,Open-architected full-range website,Clothing,375.47,263.76,"Morse, Leonard and Knight",482
40,Customizable discrete intranet,Home,754.44,117.6,Bates-Jackson,533
41,Vision-oriented local focus group,Clothing,918.22,234.35,Garcia-Adams,60
42,Intuitive secondary process improvement,Beauty,908.6,298.04,"Williams, Rios and Brown",903
43,Centralized actuating interface,Clothing,766.53,18.39,"Gardner, Lucero and Cox",514
44,Down-sized secondary focus group,Home,490.16,336.62,"Harper, Flores and Bailey",52
45,Proactive incremental model,Electronics,370.51,328.33,"Richardson, Gonzalez and Chapman",356
46,Phased systemic capacity,Home,158.71,386.99,Vincent-Ward,845
47,Exclusive zero tolerance groupware,Clothing,814.6,492.18,Donaldson and Sons,240
48,Horizontal asynchronous instruction set,Sports,407.64,397.97,Shepherd-Stokes,894
49,Assimilated background structure,Clothing,40.28,316.73,Bailey-Edwards,83
50,Exclusive client-server complexity,Electronics,285.33,134.2,Kent-Brown,416
51,Re-contextualized secondary approach,Books,767.63,73.41,"Rodriguez, Lewis and Silva",611
52,Triple-buffered hybrid intranet,Electronics,102.83,3.57,"Johnson, Carter and Brown",372
53,Customizable solution-oriented throughput,Clothing,800.25,304.23,Martin and Sons,415
54,Managed contextually-based instruction set,Sports,6.76,105.55,"Harvey, Moore and Ford",364
55,Devolved upward-trending intranet,Sports,896.0,262.92,"Rowe, Sanchez and Moreno",845
56,Centralized exuding definition,Clothing,184.33,97.4,Lyons and Sons,997
57,Monitored heuristic circuit,Home,579.72,86.35,Wilson-Johnson,449
58,Business-focused multimedia algorithm,Home,387.36,353.41,"Fisher, Allen and Ortiz",489
59,Advanced cohesive structure,Electronics,220.37,253.46,"Chandler, Wilson and Stark",731
60,Visionary uniform analyzer,Beauty,223.94,110.73,Murphy PLC,701
61,Ameliorated bottom-line hierarchy,Clothing,53.02,454.19,Dunlap Inc,713
62,Fundamental clear-thinking array,Beauty,665.43,180.27,Harvey-Rosario,538
63,Cloned regional model,Clothing,755.05,343.93,Peters Ltd,151
64,Reduced static knowledge user,Beauty,442.23,49.48,"Fernandez, Jennings and Johnson",917
65,Diverse radical portal,Beauty,372.7,412.21,Meyers-Simpson,474
66,Quality-focused methodical attitude,Books,869.01,206.36,Boyer LLC,406
67,Re-contextualized static knowledgebase,Electronics,594.26,287.98,Parker LLC,673
68,Secured user-facing open system,Home,96.07,29.35,"Mathews, Brown and Alvarez",868
69,Innovative multi-state framework,Beauty,798.12,382.78,Robinson-Gomez,111
70,Intuitive didactic alliance,Sports,849.95,78.19,Reese LLC,811
71,Cloned needs-based productivity,Electronics,375.51,202.07,"Mckinney, Lamb and Nunez",862
72,Right-sized hybrid function,Beauty,682.88,176.78,Leach-Lopez,141
73,Progressive bi-directional hub,Home,126.91,56.49,Benton Ltd,895
74,Realigned full-range adapter,Clothing,71.78,180.3,Levy-Deleon,688
75,Stand-alone high-level migration,Electronics,960.9,53.44,Carlson-Alvarez,547
76,Optional actuating attitude,Books,217.67,154.33,Harmon-Bowman,10
77,Networked discrete flexibility,Beauty,588.95,256.01,Perez Inc,241
78,Assimilated homogeneous artificial intelligence,Books,419.83,280.88,Mccall PLC,256
79,Upgradable cohesive implementation,Home,318.54,144.67,"Newton, Payne and Keller",488
80,Programmable well-modulated software,Beauty,939.67,165.32,"Smith, Young and Bryant",756
81,Fully-configurable 24/7 attitude,Home,955.34,427.17,"Dudley, Lee and Patterson",263
82,Object-based heuristic database,Sports,12.57,425.46,Barron Group,714
83,Mandatory intermediate open system,Beauty,351.56,21.09,Kirby PLC,972
84,Universal systemic service-desk,Home,738.2,483.14,Ferguson LLC,670
85,Persevering 5thgeneration help-desk,Home,900.56,257.06,Hayes LLC,618
86,Compatible intermediate neural-net,Books,76.19,177.63,Long-Massey,650
87,Universal coherent task-force,Sports,472.65,212.42,Mack-James,556
88,Sharable bi-directional success,Beauty,536.33,265.72,Huff-Cox,158
89,Persevering high-level task-force,Electronics,418.64,423.99,"Rocha, Nichols and Levy",901
90,Inverse 3rdgeneration parallelism,Home,87.14,152.81,Gonzales Inc,828
91,Reverse-engineered 5thgeneration emulation,Books,335.42,11.44,"Parker, Gallagher and Buckley",493
92,Organic logistical installation,Electronics,899.88,346.46,Flores-Arnold,212
93,Expanded reciprocal middleware,Sports,667.21,281.92,Stevenson LLC,917
94,Organized asynchronous focus group,Electronics,610.43,356.79,"Marsh, Jones and Anderson",939
95,Triple-buffered zero administration methodology,Books,455.23,365.35,Garcia-Reid,220
96,Re-contextualized bandwidth-monitored framework,Sports,146.51,221.7,"Walker, Medina and Fuller",719
97,Inverse 5thgeneration paradigm,Beauty,567.59,215.27,"Taylor, Kramer and Johnson",797
98,De-engineered client-driven moratorium,Home,806.47,160.62,Duncan-Page,33
99,Sharable scalable encryption,Home,784.9,183.44,Ramsey and Sons,188
100,Ameliorated foreground forecast,Sports,73.21,175.3,"Davis, Herrera and Lee",903
101,Enhanced logistical interface,Beauty,677.81,305.19,"Jones, Juarez and Mclean",56
102,Reverse-engineered full-range solution,Books,201.06,60.0,Hays-Lowe,270
103,Multi-tiered bandwidth-monitored migration,Electronics,509.31,284.02,Sanders-Smith,216
104,Seamless needs-based pricing structure,Clothing,824.64,421.26,"Lopez, Huff and Miller",893
105,Reverse-engineered bifurcated throughput,Electronics,604.11,157.49,Frank-Steele,361
106,Visionary system-worthy utilization,Electronics,79.23,92.9,"Stone, Chavez and Warner",54
107,Intuitive composite focus group,Clothing,517.01,333.94,Atkinson-Sullivan,10
108,Grass-roots zero-defect Graphic Interface,Sports,286.56,236.62,Carter-Barnes,924
109,Secured responsive standardization,Books,761.57,69.95,"Riley, Rivera and Carrillo",941
110,Customer-focused static groupware,Books,483.23,429.47,"Rose, Eaton and Baker",598
111,Innovative 24/7 synergy,Books,319.72,247.71,"Morales, Roberts and Chen",32
112,Organic executive concept,Home,406.75,163.36,"Hunter, Kim and Perry",888
113,User-centric didactic forecast,Books,580.51,473.28,Anderson LLC,228
114,Down-sized human-resource open architecture,Home,322.0,83.86,"Mason, Grant and Baker",997
115,Open-source directional groupware,Beauty,343.11,357.9,Miller Ltd,793
116,Function-based empowering focus group,Clothing,600.75,9.85,"Dunn, Gill and Ellis",277
117,Ergonomic multimedia attitude,Sports,328.58,162.23,Irwin-Brewer,701
118,Pre-emptive well-modulated infrastructure,Beauty,837.38,153.88,Carey Inc,923
119,Future-proofed incremental utilization,Home,577.1,273.89,Palmer Inc,726
120,Intuitive neutral productivity,Beauty,322.99,207.62,Caldwell-Hale,264
121,Multi-lateral disintermediate circuit,Sports,936.97,232.96,"Edwards, Butler and Pena",726
122,Reactive exuding knowledgebase,Electronics,72.39,351.09,"Clayton, Cummings and Lyons",416
123,Re-contextualized static system engine,Books,409.07,462.76,Moreno PLC,571
124,Exclusive scalable parallelism,Books,957.22,3.39,Smith-Walker,497
125,Sharable bandwidth-monitored standardization,Sports,638.02,87.75,Hill-Avila,192
126,Multi-layered fault-tolerant matrix,Electronics,195.83,173.21,Hawkins PLC,906
127,Persistent modular knowledgebase,Clothing,283.15,357.25,Smith and Sons,7
128,Universal global Graphic Interface,Home,813.91,100.27,Silva-Jones,744
129,Balanced homogeneous toolset,Beauty,90.77,142.49,"Lee, Payne and Robinson",840
130,Open-architected upward-trending groupware,Clothing,206.21,274.62,Wilson-Gonzalez,521
131,Object-based optimizing knowledge user,Home,983.95,296.29,"Kelly, Williams and Lyons",865
132,Horizontal global time-frame,Home,24.46,227.82,"Decker, Pierce and Singh",909
133,Seamless human-resource info-mediaries,Books,890.88,156.33,Young-Steele,45
134,Synchronized fresh-thinking capability,Clothing,16.44,394.55,"Quinn, Thomas and Rodriguez",395
135,Business-focused intermediate ability,Clothing,5.79,13.08,Fox-Lopez,714
136,Customer-focused logistical support,Home,101.62,144.63,Sanders-Hill,601
137,Inverse explicit orchestration,Beauty,264.21,209.29,Petersen-Yoder,929
138,Future-proofed human-resource groupware,Home,915.89,180.24,"Nunez, Jensen and Clark",685
139,Virtual stable moderator,Beauty,515.11,481.28,Ramos-Patterson,747
140,Decentralized attitude-oriented focus group,Sports,7.23,236.02,White Group,475
141,Robust coherent portal,Clothing,574.09,262.65,Savage and Sons,152
142,Decentralized well-modulated initiative,Sports,658.92,171.79,"Parks, Evans and Watts",458
143,Universal contextually-based info-mediaries,Electronics,277.89,348.17,"Aguilar, Lee and Morrison",590
144,Networked high-level array,Beauty,393.62,211.0,Ward-Green,337
145,Visionary well-modulated forecast,Home,566.5,248.3,"Wilson, Hartman and Hamilton",630
146,Secured dedicated hub,Books,467.66,426.04,"Singleton, Le and Bauer",500
147,Quality-focused dedicated attitude,Home,335.09,229.29,Lewis PLC,72
148,Persistent secondary task-force,Electronics,719.66,30.49,Young and Sons,534
149,Cross-platform holistic matrices,Sports,161.41,87.23,Sanders-Brown,193
150,Multi-lateral multimedia projection,Sports,306.11,69.08,"Barber, Harris and Richardson",868
151,Open-architected scalable functionalities,Clothing,660.46,341.66,Campbell Ltd,102
152,Public-key transitional protocol,Books,93.64,165.84,Shaw-Shelton,111
153,Fundamental system-worthy adapter,Electronics,473.82,343.62,Butler-Smith,359
154,Profit-focused system-worthy hierarchy,Sports,105.09,350.58,Schwartz-Smith,472
155,Digitized demand-driven interface,Electronics,682.16,73.56,Stone-Walsh,300
156,Programmable neutral productivity,Beauty,754.87,234.47,Roberts-Harris,781
157,Synergistic 4thgeneration project,Electronics,689.78,374.93,"Potts, Sanchez and Boyd",546
158,Diverse holistic model,Beauty,824.43,401.81,Mills and Sons,430
159,Adaptive asymmetric array,Sports,864.71,114.82,Hanson PLC,279
160,Assimilated modular implementation,Home,70.94,447.09,Allen-Gonzalez,299
161,Centralized stable knowledgebase,Beauty,503.96,309.98,"Nguyen, Kennedy and Contreras",723
162,Stand-alone logistical approach,Books,894.73,180.88,Garcia PLC,618
163,Customizable foreground knowledgebase,Home,170.68,317.96,"Wise, Hansen and Townsend",220
164,Monitored dedicated collaboration,Clothing,32.97,103.79,Hodge-Thomas,94
165,Inverse bifurcated function,Home,883.08,425.36,Casey-Turner,296
166,Reactive clear-thinking portal,Electronics,58.45,445.29,"Gonzalez, Morse and Griffin",134
167,Configurable 5thgeneration archive,Home,479.29,249.65,Hill-Henderson,298
168,Persevering even-keeled encoding,Beauty,218.07,191.27,Little-Church,804
169,Fundamental exuding infrastructure,Electronics,353.72,208.21,Wilson-Gay,422
170,Seamless contextually-based complexity,Clothing,553.96,150.51,Bates Inc,804
171,Focused secondary contingency,Sports,646.77,407.24,Figueroa-Wade,229
172,Adaptive zero-defect capacity,Books,365.59,232.89,Hines LLC,71
173,Customizable 3rdgeneration installation,Beauty,71.07,330.19,"Little, Mitchell and Winters",279
174,Intuitive human-resource methodology,Clothing,875.82,92.11,Johnson-Moore,203
175,Right-sized non-volatile architecture,Clothing,142.62,323.75,Dillon-Barnes,80
176,Ameliorated homogeneous utilization,Sports,347.51,483.15,Malone-Campos,405
177,Seamless zero-defect function,Electronics,932.87,100.72,"Cook, Medina and Rodriguez",530
178,Programmable zero administration emulation,Beauty,462.69,364.65,Powell-Berg,209
179,Cross-group multimedia open architecture,Electronics,353.37,321.51,Luna Inc,465
180,Object-based asymmetric workforce,Beauty,105.38,439.27,Roberts Inc,727
181,Upgradable intangible capability,Sports,936.65,466.86,Gomez LLC,638
182,Customer-focused even-keeled groupware,Clothing,380.38,444.32,"Thompson, Thompson and Smith",856
183,Reduced clear-thinking parallelism,Clothing,153.32,10.29,Martin-Morse,154
184,Quality-focused attitude-oriented productivity,Books,984.64,441.64,"Johnson, Shelton and Hodges",788
185,Cloned reciprocal infrastructure,Sports,31.59,117.71,Miller Group,371
186,Networked dedicated firmware,Sports,617.43,320.46,"Booker, Baird and Scott",666
187,Customer-focused empowering capability,Books,902.0,381.12,Marsh Inc,990
188,Cross-platform executive Local Area Network,Sports,336.06,107.89,"Warren, Tate and Joseph",900
189,Devolved radical moratorium,Home,520.04,359.45,Giles-Green,40
190,Front-line uniform algorithm,Clothing,234.97,434.16,Miller-Hernandez,206
191,Reactive human-resource solution,Sports,806.44,212.51,Torres LLC,915
192,Stand-alone neutral functionalities,Sports,221.94,7.25,Lynch-Howe,996
193,Cloned hybrid capability,Beauty,796.09,432.41,"Moss, Hill and Perry",649
194,Team-oriented impactful utilization,Electronics,26.95,258.31,Humphrey LLC,954
195,Down-sized encompassing emulation,Books,485.6,49.51,Stewart-Reyes,884
196,Virtual hybrid info-mediaries,Books,494.52,49.29,Ortiz-Smith,860
197,Robust mobile approach,Home,468.79,437.16,"Dunn, Mccarty and Griffith",795
198,Streamlined fresh-thinking strategy,Beauty,972.16,494.76,Mendez and Sons,430
199,Synchronized value-added core,Clothing,203.86,235.73,Love Inc,526
200,Focused tangible product,Clothing,797.68,94.46,Baker-Berry,255
